,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2823,lzw-jpg-large-low-42,1.1987461398861403,49.0,6071.6083984375,170.86930999999998,0.2495778,142.37499938397153
2824,lzw-jpg-large-low-43,1.1754839550094047,42.0,4496.5888671875,142.919,0.2463680952380952,127.70524843292912
2825,lzw-jpg-large-low-44,1.175530804808947,41.0,4486.3291015625,145.56481999999997,0.2602611904761904,118.42006335216551
2826,lzw-jpg-large-low-45,1.1797932854921231,43.0,4746.884765625,152.53893,0.2604736363636364,119.47147354705292
2827,lzw-jpg-large-low-46,1.1789337459414344,41.0,4575.8447265625,146.22403999999997,0.263722619047619,118.66021205234568
2828,lzw-jpg-large-low-47,1.1810292388729815,43.0,4778.5068359375,150.82252999999997,0.2518711363636364,125.79042614158222
2829,lzw-jpg-large-low-48,1.1787139285130088,42.0,4671.0693359375,149.13932999999997,0.2608186046511628,120.08411424219788
2830,lzw-jpg-large-low-49,1.1764209709561957,42.0,4566.0751953125,149.79680999999997,0.2641906976744186,115.37799099575687
2831,lzw-jpg-large-low-50,1.1941067866864472,46.0,5537.44921875,163.29700000000005,0.2621521276595744,129.3534938351835
2832,lzw-jpg-large-high-1,1.2225222221059628,62.0,8598.111328125,217.25725,0.2564455555555555,154.32404897485432
2833,lzw-jpg-large-high-2,1.226138553020794,62.0,8882.5576171875,218.01131,0.2590852380952381,157.2593005940207
2834,lzw-jpg-large-high-3,1.2257018364178858,61.0,8845.1015625,215.69612,0.2631590322580645,155.82682085427268
2835,lzw-jpg-large-high-4,1.2247781282016026,62.0,8837.70703125,218.31891,0.2601619047619047,155.59819070419502
2836,lzw-jpg-large-high-5,1.2243087638909385,62.0,8672.25390625,218.41847,0.2605104761904762,152.41139260902943
2837,lzw-jpg-large-high-6,1.226060793880241,63.0,8928.7373046875,219.65646,0.25283015625,160.77450916205115
2838,lzw-jpg-large-high-7,1.2284997470978165,65.0,9226.5703125,225.258,0.2486104545454545,164.75578937936606
2839,lzw-jpg-large-high-8,1.2332222327919578,65.0,9624.7490234375,227.206,0.2551196969696969,166.04493300069527
2840,lzw-jpg-large-high-9,1.2193989938579692,61.0,8205.3466796875,212.02613,0.2501049999999999,154.733794007324
2841,lzw-jpg-large-high-10,1.226707693842752,63.0,8893.1455078125,219.00969,0.2506010937499999,162.03510153748286
2842,lzw-jpg-large-high-11,1.2227478363347832,62.0,8529.05859375,214.68414,0.2474382539682539,160.55886663127995
2843,lzw-jpg-large-high-12,1.2251866207113424,61.0,8811.2841796875,212.72351,0.2525854838709677,163.9892312226818
2844,lzw-jpg-large-high-13,1.234613017988194,69.0,9914.880859375,235.9601,0.2500907246376811,168.01627171289778
2845,lzw-jpg-large-high-14,1.2192059025468338,59.0,8254.16015625,205.20153,0.25016,160.79569918395066
2846,lzw-jpg-large-high-15,1.224110972948282,60.0,8624.3330078125,209.43295,0.253093606557377,162.70441315797368
2847,lzw-jpg-large-high-16,1.2223868678976535,62.0,8567.7685546875,214.36855,0.2463336507936508,162.24933013219388
2848,lzw-jpg-large-high-17,1.228003796251229,62.0,9108.9814453125,216.20824,0.2527734920634921,166.67330517227552
2849,lzw-jpg-large-high-18,1.218789482300512,61.0,8177.9111328125,211.88071,0.2495879032258064,154.64199178015193
2850,lzw-jpg-large-high-19,1.2203398651807462,62.0,8305.9345703125,214.6284200000001,0.2472430158730158,156.52266894891798
2851,lzw-jpg-large-high-20,1.2312949446767505,65.0,9379.4658203125,228.62544,0.2598627272727273,157.87361687530424
2852,lzw-jpg-large-high-21,1.218277001321669,60.0,8154.083984375,210.23288,0.2559854098360655,151.5162899197676
