,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
697,huffman-png-small-high-48,0.9999658073894696,7.0,-0.8828125,27.49043,0.25375,-0.1265554609152664
698,huffman-png-small-high-49,0.99996339823477,7.0,-0.87890625,27.3544,0.25,-0.1285213713333138
699,huffman-png-small-high-50,1.0000362097303568,8.0,0.943359375,30.68206,0.2477544444444444,0.1240998340935627
700,huffman-png-large-low-1,1.0004756781443978,13.0,19.0078125,47.93820999999999,0.2510714285714285,1.57925780538394
701,huffman-png-large-low-2,1.0002884439429516,14.0,12.212890625,53.69272999999999,0.2853333333333332,0.7971691282946468
702,huffman-png-large-low-3,1.000343425333819,14.0,14.34375,51.42553,0.252,1.1068362904017297
703,huffman-png-large-low-4,1.0005847397768417,14.0,24.9560546875,51.34763,0.250854,1.9374678073272824
704,huffman-png-large-low-5,1.0003229709866748,13.0,12.7470703125,48.87154999999999,0.2657735714285714,0.9813919147445924
705,huffman-png-large-low-6,1.000343124904321,14.0,14.41796875,52.27761999999999,0.264528,1.042597367180742
706,huffman-png-large-low-7,1.0004316862510765,13.0,18.0830078125,47.97279,0.2516164285714285,1.4980858409581217
707,huffman-png-large-low-8,1.0002247305249528,13.0,8.845703125,47.89287,0.2503571428571428,0.737736905969755
708,huffman-png-large-low-9,1.0002317920790231,15.0,10.2060546875,56.27318,0.2715625,0.6678618484241957
709,huffman-png-large-low-10,1.0003678933463596,12.0,14.2978515625,44.56426,0.2519230769230769,1.2735503883553996
710,huffman-png-large-low-11,1.0002550395856795,13.0,10.7763671875,47.96088,0.2514285714285714,0.8936564824065041
711,huffman-png-large-low-12,1.0002966234414674,12.0,11.642578125,44.49623999999999,0.2507692307692307,1.0434018420584494
712,huffman-png-large-low-13,1.0003677415244137,12.0,13.4482421875,46.46872,0.2842307692307692,1.0182014739859602
713,huffman-png-large-low-14,1.0003836731847104,13.0,15.9228515625,48.07612999999999,0.2532442857142857,1.3078311917437175
714,huffman-png-large-low-15,1.000486387545689,14.0,21.79296875,51.33483999999999,0.2506666666666666,1.6935873357531632
715,huffman-png-large-low-16,1.0004599610392948,13.0,18.861328125,47.91554,0.2507142857142857,1.5700620005481225
716,huffman-png-large-low-17,1.0006375747235048,14.0,26.3486328125,53.55765,0.2833473333333333,1.7362707251663176
717,huffman-png-large-low-18,1.000422922335863,13.0,16.5986328125,47.93006,0.2509428571428571,1.3800331116575322
718,huffman-png-large-low-19,1.0004630056218164,14.0,19.15234375,51.40569,0.2517086666666666,1.4801732997644457
719,huffman-png-large-low-20,1.0003211681142796,14.0,13.5537109375,52.8312,0.2726666666666666,0.940883158500084
720,huffman-png-large-low-21,1.000506562895933,14.0,20.9267578125,49.0457,0.2685178571428571,1.589014419196132
721,huffman-png-large-low-22,1.0002897938595663,14.0,12.21875,51.35751,0.251,0.9478706986468416
722,huffman-png-large-low-23,1.000117525853428,13.0,4.9521484375,47.89287,0.2503571428571428,0.4130121274202504
723,huffman-png-large-low-24,1.0006353746837051,13.0,26.0634765625,49.97868999999999,0.2832142857142857,1.8413329318332523
724,huffman-png-large-low-25,1.000481567103828,13.0,19.73046875,48.02889999999999,0.2525,1.626946906904587
725,huffman-png-large-low-26,1.0004330817388007,13.0,16.98828125,47.58635,0.2455285714285714,1.4540020233222697
726,huffman-png-large-low-27,1.0004214563288925,15.0,18.9541015625,54.77681,0.2509375,1.3789258065882548
727,huffman-png-large-low-28,1.000187195336692,11.0,6.6240234375,42.5733,0.2783333333333333,0.5590096751202376
728,huffman-png-large-low-29,1.0002961342785643,11.0,10.19140625,41.14496,0.2520833333333333,0.9825922545134196
729,huffman-png-large-low-30,1.0005525639764017,12.0,19.603515625,44.21474,0.2459938461538461,1.802364583156922
730,huffman-png-large-low-31,1.0008897544647355,12.0,34.1279296875,44.49624,0.2507692307692307,3.058527442913657
731,huffman-png-large-low-32,1.0004190780829918,11.0,15.0927734375,42.66398,0.2799999999999999,1.26342554718959
732,huffman-png-large-low-33,1.0003503481505764,13.0,13.537109375,48.79976,0.2646428571428571,1.048209460619524
733,huffman-png-large-low-34,1.0003684595146591,10.0,12.3056640625,37.63497,0.2504545454545454,1.3055231061847985
734,huffman-png-large-low-35,1.0002425846245486,11.0,8.2978515625,41.07693999999999,0.2508333333333333,0.8053456707666687
735,huffman-png-large-low-36,1.000305681572403,12.0,11.0830078125,46.13053,0.2784938461538461,0.8626876721763054
736,huffman-png-large-low-37,1.000428088634033,11.0,14.6953125,41.5984,0.2604166666666667,1.3565425593292049
737,huffman-png-large-low-38,1.0005715374409965,11.0,20.0849609375,41.07693999999999,0.2508333333333333,1.949340286060736
738,huffman-png-large-low-39,1.0003926526164713,12.0,14.8017578125,44.56425,0.2519230769230768,1.318435050054457
739,huffman-png-large-low-40,1.000536267759251,13.0,20.9072265625,49.54792,0.2764285714285714,1.5264692795475177
740,huffman-png-large-low-41,1.0009847198508364,13.0,39.1640625,48.82701,0.2650721428571428,3.0259623188987743
741,huffman-png-large-low-42,1.0003194400096742,11.0,11.4228515625,41.07693999999999,0.2508333333333333,1.1086416748214338
742,huffman-png-large-low-43,1.0004771460404909,13.0,17.7548828125,47.41674999999999,0.2428571428571428,1.5418252198357558
743,huffman-png-large-low-44,1.000297425543799,12.0,10.7158203125,46.17587,0.2792630769230769,0.8309919506774034
744,huffman-png-large-low-45,1.0002323771358197,11.0,8.0810546875,41.8818,0.265625,0.7263965282687721
745,huffman-png-large-low-46,1.0003144532070074,11.0,10.794921875,41.1714,0.25257,1.0381069635917255
746,huffman-png-large-low-47,1.0003265713408416,11.0,11.32421875,41.07694,0.2508333333333333,1.0990688946934553
